1	Il	cln	CL	CLS	s=suj	2	suj	_	_
2	est	être	V	V	m=ind|n=s|p=3|t=pst	0	root	_	_
3	violet	violet	A	ADJ	g=m|n=s|s=qual	2	ats	_	_
4	.	.	PONCT	PONCT	s=s	2	ponct	_	_

1	Il	cln	CL	CLS	s=suj	2	suj	_	_
2	est	être	V	V	m=ind|n=s|p=3|t=pst	0	root	_	_
3	probable	probable	A	ADJ	n=s|s=qual	2	ats	_	_
4	que	que	C	CS	s=s	2	mod	_	_
5	Fred	Fred	N	NPP	g=m|n=s|s=p	6	suj	_	_
6	viendra	venir	V	V	m=ind|n=s|p=3|t=fut	4	obj	_	_
7	.	.	PONCT	PONCT	s=s	2	ponct	_	_

1	Il	cln	CL	CLS	s=suj	2	suj	_	_
2	est	être	V	V	m=ind|n=s|p=3|t=pst	0	root	_	_
3	difficile	difficile	A	ADJ	n=s|s=qual	2	ats	_	_
4	de	de	P	P	_	2	mod	_	_
5	résoudre	résoudre	V	VINF	m=inf	4	obj	_	_
6	ce	ce	D	DET	g=m|n=s|s=dem	7	det	_	_
7	problème	problème	N	NC	g=m|n=s|s=c	5	obj	_	_
8	.	.	PONCT	PONCT	s=s	2	ponct	_	_

1	Il	cln	CL	CLS	s=suj	2	suj	_	_
2	est	être	V	V	m=ind|n=s|p=3|t=pst	0	root	_	_
3	difficile	difficile	A	ADJ	n=s|s=qual	2	ats	_	_
4	à	à	P	P	_	2	mod	_	_
5	résoudre	résoudre	V	VINF	m=inf	4	obj	_	_
6	(	(	PONCT	PONCT	s=w	2	ponct	_	_
7	ce	ce	D	DET	g=m|n=s|s=dem	8	det	_	_
8	problème	problème	N	NC	g=m|n=s|s=c	2	mod	_	_
9	)	)	PONCT	PONCT	s=w	2	ponct	_	_
10	.	.	PONCT	PONCT	s=s	2	ponct	_	_

1	Il	cln	CL	CLS	s=suj	2	suj	_	_
2	pleut	pleuvoir	V	V	m=ind|n=s|p=3|t=pst	0	root	_	_
3	.	.	PONCT	PONCT	s=s	2	ponct	_	_

1	Il	cln	CL	CLS	s=suj	2	suj	_	_
2	fait	faire	V	V	m=ind|n=s|p=3|t=pst	0	root	_	_
3	beau	beau	A	ADJ	g=m|n=s|s=qual	2	ats	_	_
4	.	.	PONCT	PONCT	s=s	2	ponct	_	_

1	Il	cln	CL	CLS	s=suj	2	suj	_	_
2	faut	falloir	V	V	m=ind|n=s|p=3|t=pst	0	root	_	_
3	du	de	D	DET	_	4	det	_	_
4	pain	pain	N	NC	g=m|n=s|s=c	2	obj	_	_
5	.	.	PONCT	PONCT	s=s	2	ponct	_	_

1	Il	cln	CL	CLS	s=suj	2	suj	_	_
